Column1,Content ID,Datetime,Category,Content Type,Reaction ype,Sentiment,Score,,,,
25340,89cb4504-fccd-40f4-945e-410f74ee4735,17-08-2020 00:52,Animals,photo,want,positive,70,,,,
25337,89cb4504-fccd-40f4-945e-410f74ee4735,06-10-2020 15:28,Animals,photo,want,positive,70,,,Top 5 Categories,
25330,89cb4504-fccd-40f4-945e-410f74ee4735,03-12-2020 01:46,Animals,photo,want,positive,70,,,Category,Sum of Score
25310,89cb4504-fccd-40f4-945e-410f74ee4735,16-02-2021 21:25,Animals,photo,want,positive,70,,,Animals,74965
25178,cab37e79-0e76-4bd2-b6bd-2fc8bf66ca99,11-11-2020 01:24,Animals,photo,want,positive,70,,,Food,66676
22557,6519b8ec-1253-4f91-8abb-3c5a04eccd2b,14-01-2021 20:06,Animals,photo,want,positive,70,,,Healthy Eating,69339
22544,7f7d20ca-fedf-48e6-8364-dbb8adeb4223,03-01-2021 21:35,Animals,photo,want,positive,70,,,Science,71168
22541,7f7d20ca-fedf-48e6-8364-dbb8adeb4223,18-08-2020 16:52,Animals,photo,want,positive,70,,,Technology,68738
22169,0c2bd955-f00f-4c2f-8999-7cc0ada4b3e7,04-04-2021 01:51,Animals,photo,want,positive,70,,,Grand Total,350886
21900,a4f6b4c2-36bd-4232-bef8-66577a601163,05-01-2021 16:19,Animals,photo,want,positive,70,,,,
21881,a4f6b4c2-36bd-4232-bef8-66577a601163,08-05-2021 21:58,Animals,photo,want,positive,70,,,,
21846,2ceee25a-8461-4409-ab41-7a72d97d722d,02-02-2021 14:11,Animals,photo,want,positive,70,,,,
21844,2ceee25a-8461-4409-ab41-7a72d97d722d,28-11-2020 13:23,Animals,photo,want,positive,70,,,,
21827,2ceee25a-8461-4409-ab41-7a72d97d722d,17-07-2020 16:20,Animals,photo,want,positive,70,,,,
21700,4dca44b9-e65c-4d9d-93eb-6a24ec8950e9,30-04-2021 17:50,Animals,photo,want,positive,70,,,,
21698,4dca44b9-e65c-4d9d-93eb-6a24ec8950e9,18-06-2020 20:27,Animals,photo,want,positive,70,,,,
21694,4dca44b9-e65c-4d9d-93eb-6a24ec8950e9,05-09-2020 07:16,Animals,photo,want,positive,70,,,,
21676,4dca44b9-e65c-4d9d-93eb-6a24ec8950e9,16-05-2021 13:28,Animals,photo,want,positive,70,,,,
